ID,Name,Type 1,Type 2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,Category,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Ability 1,Ability 2,NoGender,EggGroup1,EggGroup2,IsMega,FightsWon,TotalFights,WinPercentage
11,Wartortle,Water,Water,Rain Dish,1,59.0,63.0,80.0,65.0,80.0,58.0,405.0,22.5,1.0,0.875,Turtle Pokémon,45,20,Medium Slow,70,0,0,0,2,3,Squirtle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Torrent,None,0,Monster,Water 1,0,59,141,0.41844
12,Blastoise,Water,Water,Rain Dish,1,79.0,83.0,100.0,85.0,105.0,78.0,530.0,85.5,1.6,0.875,Shellfish Pokémon,45,20,Medium Slow,70,0,0,1,3,3,Wartortle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Torrent,None,0,Monster,Water 1,0,0,0,0.0
13,Mega Blastoise,Water,Water,None,1,79.0,103.0,120.0,135.0,115.0,78.0,630.0,101.1,1.6,0.875,Shellfish Pokémon,45,20,Medium Slow,70,0,0,1,3,3,Blastoise,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Mega Launcher,None,0,Monster,Water 1,1,83,144,0.576389
14,Caterpie,Bug,Bug,Run Away,1,45.0,30.0,35.0,20.0,20.0,45.0,195.0,2.9,0.3,0.5,Worm Pokémon,255,15,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,Shield Dust,None,0,Bug,No Eggs Discovered,0,17,115,0.147826
15,Metapod,Bug,Bug,None,1,50.0,20.0,55.0,25.0,25.0,30.0,205.0,9.9,0.7,0.5,Cocoon Pokémon,120,15,Medium Fast,70,0,0,0,2,3,Caterpie,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,Shed Skin,None,0,Bug,No Eggs Discovered,0,13,133,0.097744
16,Butterfree,Bug,Flying,Tinted Lens,1,60.0,45.0,50.0,90.0,80.0,70.0,395.0,32.0,1.1,0.5,Butterfly Pokémon,45,15,Medium Fast,70,0,0,0,3,3,Metapod,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,Compound Eyes,None,0,Bug,No Eggs Discovered,0,75,120,0.625
17,Weedle,Bug,Poison,Run Away,1,40.0,35.0,30.0,20.0,20.0,50.0,195.0,3.2,0.3,0.5,Hairy Bug Pokémon,255,15,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Shield Dust,None,0,Bug,No Eggs Discovered,0,26,111,0.234234
18,Kakuna,Bug,Poison,None,1,45.0,25.0,50.0,25.0,25.0,35.0,205.0,10.0,0.6,0.5,Cocoon Pokémon,120,15,Medium Fast,70,0,0,0,2,3,Weedle,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Shed Skin,None,0,Bug,No Eggs Discovered,0,17,130,0.130769
19,Beedrill,Bug,Poison,Sniper,1,65.0,90.0,40.0,45.0,80.0,75.0,395.0,29.5,1.0,0.5,Poison Bee Pokémon,45,15,Medium Fast,70,0,0,1,3,3,Kakuna,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Swarm,None,0,Bug,No Eggs Discovered,0,80,128,0.625
20,Mega Beedrill,Bug,Poison,None,1,65.0,150.0,40.0,15.0,80.0,145.0,495.0,40.5,1.4,0.5,Poison Bee Pokémon,45,15,Medium Fast,70,0,0,1,3,3,Beedrill,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Adaptability,None,0,Bug,No Eggs Discovered,1,115,119,0.966387
21,Pidgey,Normal,Flying,Big Pecks,1,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.8,0.3,0.5,Tiny Bird Pokémon,255,15,Medium Slow,70,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,Tangled Feet,0,Flying,No Eggs Discovered,0,47,126,0.373016
22,Pidgeotto,Normal,Flying,Big Pecks,1,63.0,60.0,55.0,50.0,50.0,71.0,349.0,30.0,1.1,0.5,Bird Pokémon,120,15,Medium Slow,70,0,0,0,2,3,Pidgey,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,Tangled Feet,0,Flying,No Eggs Discovered,0,64,121,0.528926
23,Pidgeot,Normal,Flying,Big Pecks,1,83.0,80.0,75.0,70.0,70.0,101.0,479.0,39.5,1.5,0.5,Bird Pokémon,45,15,Medium Slow,70,0,0,1,3,3,Pidgeotto,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,Tangled Feet,0,Flying,No Eggs Discovered,0,112,130,0.861538
24,Mega Pidgeot,Normal,Flying,None,1,83.0,80.0,80.0,135.0,80.0,121.0,579.0,50.5,2.2,0.5,Bird Pokémon,45,15,Medium Slow,70,0,0,1,3,3,Pidgeot,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,No Guard,None,0,Flying,No Eggs Discovered,1,119,126,0.944444
25,Rattata,Normal,Normal,Hustle,1,30.0,56.0,35.0,25.0,35.0,72.0,253.0,3.5,0.3,0.5,Mouse Pokémon,255,15,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Run Away,Guts,0,Field,No Eggs Discovered,0,65,135,0.481481
26,Raticate,Normal,Normal,Hustle,1,55.0,81.0,60.0,50.0,70.0,97.0,413.0,18.5,0.7,0.5,Mouse Pokémon,127,15,Medium Fast,70,0,0,0,2,2,Rattata,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Run Away,Guts,0,Field,No Eggs Discovered,0,101,140,0.721429
27,Spearow,Normal,Flying,Sniper,1,40.0,60.0,30.0,31.0,31.0,70.0,262.0,2.0,0.3,0.5,Tiny Bird Pokémon,255,15,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,None,0,Flying,No Eggs Discovered,0,62,138,0.449275
28,Fearow,Normal,Flying,Sniper,1,65.0,90.0,65.0,61.0,61.0,100.0,442.0,38.0,1.2,0.5,Beak Pokémon,90,15,Medium Fast,70,0,0,0,2,2,Spearow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Keen Eye,None,0,Flying,No Eggs Discovered,0,103,123,0.837398
29,Ekans,Poison,Poison,Unnerve,1,35.0,60.0,44.0,40.0,54.0,55.0,288.0,6.9,2.0,0.5,Snake Pokémon,255,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Intimidate,Shed Skin,0,Field,Dragon,0,48,131,0.366412
30,Arbok,Poison,Poison,Unnerve,1,60.0,95.0,69.0,65.0,79.0,80.0,448.0,65.0,3.5,0.5,Cobra Pokémon,90,20,Medium Fast,70,0,0,0,2,2,Ekans,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Intimidate,Shed Skin,0,Field,Dragon,0,72,125,0.576
31,Pikachu,Electric,Electric,Lightning Rod,1,35.0,55.0,40.0,50.0,50.0,90.0,320.0,6.0,0.4,0.5,Mouse Pokémon,190,10,Medium Fast,70,0,0,0,2,3,Pichu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Static,None,0,Field,Fairy,0,93,136,0.683824
32,Raichu,Electric,Electric,Lightning Rod,1,60.0,90.0,55.0,90.0,80.0,110.0,485.0,30.0,0.8,0.5,Mouse Pokémon,75,10,Medium Fast,70,0,0,0,3,3,Pikachu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Static,None,0,Field,Fairy,0,105,121,0.867769
33,Sandshrew,Ground,Ground,Sand Rush,1,50.0,75.0,85.0,20.0,30.0,40.0,300.0,12.0,0.6,0.5,Mouse Pokémon,255,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sand Veil,None,0,Field,No Eggs Discovered,0,0,0,0.0
34,Sandslash,Ground,Ground,Sand Rush,1,75.0,100.0,110.0,45.0,55.0,65.0,450.0,29.5,1.0,0.5,Mouse Pokémon,90,20,Medium Fast,70,0,0,0,2,2,Sandshrew,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sand Veil,None,0,Field,No Eggs Discovered,0,56,105,0.533333
35,Nidoran♀,Poison,Poison,Hustle,1,55.0,47.0,52.0,40.0,40.0,41.0,275.0,7.0,0.4,0.0,Poison Pin Pokémon,235,20,Medium Slow,70,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,Monster,Field,0,20,119,0.168067
36,Nidorina,Poison,Poison,Hustle,1,70.0,62.0,67.0,55.0,55.0,56.0,365.0,20.0,0.8,0.0,Poison Pin Pokémon,120,20,Medium Slow,70,0,0,0,2,3,Nidoran♀,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,No Eggs Discovered,No Eggs Discovered,0,57,148,0.385135
37,Nidoqueen,Poison,Ground,Sheer Force,1,90.0,92.0,87.0,75.0,85.0,76.0,505.0,60.0,1.3,0.0,Drill Pokémon,45,20,Medium Slow,70,0,0,0,3,3,Nidorina,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,Poison Point,Rivalry,0,No Eggs Discovered,No Eggs Discovered,0,66,122,0.540984
38,Nidoran♂,Poison,Poison,Hustle,1,46.0,57.0,40.0,40.0,40.0,50.0,273.0,9.0,0.5,1.0,Poison Pin Pokémon,235,20,Medium Slow,70,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,Monster,Field,0,34,136,0.25
39,Nidorino,Poison,Poison,Hustle,1,61.0,72.0,57.0,55.0,55.0,65.0,365.0,19.5,0.9,1.0,Poison Pin Pokémon,120,20,Medium Slow,70,0,0,0,2,3,Nidoran♂,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,Poison Point,Rivalry,0,Monster,Field,0,51,128,0.398438
40,Nidoking,Poison,Ground,Sheer Force,1,81.0,102.0,77.0,85.0,75.0,85.0,505.0,62.0,1.4,1.0,Drill Pokémon,45,20,Medium Slow,70,0,0,0,3,3,Nidorino,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,Poison Point,Rivalry,0,Monster,Field,0,79,140,0.564286
41,Clefairy,Fairy,Fairy,Friend Guard,1,70.0,45.0,48.0,60.0,65.0,35.0,323.0,7.5,0.6,0.25,Fairy Pokémon,150,10,Fast,140,0,0,0,2,3,Cleffa,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Cute Charm,Magic Guard,0,Fairy,No Eggs Discovered,0,20,127,0.15748
42,Clefable,Fairy,Fairy,Unaware,1,95.0,70.0,73.0,95.0,90.0,60.0,483.0,40.0,1.3,0.25,Fairy Pokémon,25,10,Fast,140,0,0,0,3,3,Clefairy,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Cute Charm,Magic Guard,0,Fairy,No Eggs Discovered,0,49,123,0.398374
43,Vulpix,Fire,Fire,Drought,1,38.0,41.0,40.0,50.0,65.0,65.0,299.0,9.9,0.6,0.25,Fox Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Flash Fire,None,0,Field,No Eggs Discovered,0,53,129,0.410853
44,Ninetales,Fire,Fire,Drought,1,73.0,76.0,75.0,81.0,100.0,100.0,505.0,19.9,1.1,0.25,Fox Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Vulpix,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,Flash Fire,None,0,Field,No Eggs Discovered,0,103,127,0.811024
45,Jigglypuff,Normal,Fairy,Friend Guard,1,115.0,45.0,20.0,45.0,25.0,20.0,270.0,5.5,0.5,0.25,Balloon Pokémon,170,10,Fast,70,0,0,0,2,3,Igglybuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Cute Charm,Competitive,0,Fairy,No Eggs Discovered,0,15,130,0.115385
46,Wigglytuff,Normal,Fairy,Frisk,1,140.0,70.0,45.0,85.0,50.0,45.0,435.0,12.0,1.0,0.25,Balloon Pokémon,50,10,Fast,70,0,0,0,3,3,Jigglypuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,Cute Charm,Competitive,0,Fairy,No Eggs Discovered,0,0,0,0.0
47,Zubat,Poison,Flying,Infiltrator,1,40.0,45.0,35.0,30.0,40.0,55.0,245.0,7.5,0.8,0.5,Bat Pokémon,255,15,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,Inner Focus,None,0,Flying,No Eggs Discovered,0,55,145,0.37931
48,Golbat,Poison,Flying,Infiltrator,1,75.0,80.0,70.0,65.0,75.0,90.0,455.0,55.0,1.6,0.5,Bat Pokémon,90,15,Medium Fast,70,0,0,0,2,3,Zubat,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,Inner Focus,None,0,Flying,No Eggs Discovered,0,97,128,0.757812
49,Oddish,Grass,Poison,Run Away,1,45.0,50.0,55.0,75.0,65.0,30.0,320.0,5.4,0.5,0.5,Weed Pokémon,255,20,Medium Slow,70,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Chlorophyll,None,0,Grass,No Eggs Discovered,0,9,143,0.062937
50,Gloom,Grass,Poison,Stench,1,60.0,65.0,70.0,85.0,75.0,40.0,395.0,8.6,0.8,0.5,Weed Pokémon,120,20,Medium Slow,70,0,0,0,2,3,Oddish,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Chlorophyll,None,0,Grass,No Eggs Discovered,0,28,129,0.217054
51,Vileplume,Grass,Poison,Effect Spore,1,75.0,80.0,85.0,110.0,90.0,50.0,490.0,18.6,1.2,0.5,Flower Pokémon,45,20,Medium Slow,70,0,0,0,3,3,Gloom,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Chlorophyll,None,0,Grass,No Eggs Discovered,0,44,124,0.354839
52,Paras,Bug,Grass,Damp,1,35.0,70.0,55.0,45.0,55.0,25.0,285.0,5.4,0.3,0.5,Mushroom Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,Effect Spore,Dry Skin,0,Bug,Grass,0,13,138,0.094203
53,Parasect,Bug,Grass,Damp,1,60.0,95.0,80.0,60.0,80.0,30.0,405.0,29.5,1.0,0.5,Mushroom Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Paras,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,Effect Spore,Dry Skin,0,Bug,Grass,0,30,154,0.194805
54,Venonat,Bug,Poison,Run Away,1,60.0,55.0,50.0,40.0,55.0,45.0,305.0,30.0,1.0,0.5,Insect Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Compound Eyes,Tinted Lens,0,Bug,No Eggs Discovered,0,32,143,0.223776
55,Venomoth,Bug,Poison,Wonder Skin,1,70.0,65.0,60.0,90.0,75.0,90.0,450.0,12.5,1.5,0.5,Poison Moth Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Venonat,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Shield Dust,Tinted Lens,0,Bug,No Eggs Discovered,0,92,140,0.657143
56,Diglett,Ground,Ground,Sand Force,1,10.0,55.0,25.0,35.0,45.0,95.0,265.0,0.8,0.2,0.5,Mole Pokémon,255,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sand Veil,Arena Trap,0,Field,No Eggs Discovered,0,68,126,0.539683
57,Dugtrio,Ground,Ground,Sand Force,1,35.0,100.0,50.0,50.0,70.0,120.0,425.0,33.3,0.7,0.5,Mole Pokémon,50,20,Medium Fast,70,0,0,0,2,2,Diglett,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Sand Veil,Arena Trap,0,Field,No Eggs Discovered,0,108,128,0.84375
58,Meowth,Normal,Normal,Unnerve,1,40.0,45.0,35.0,40.0,40.0,90.0,290.0,4.2,0.4,0.5,Scratch Cat Pokémon,255,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Pickup,Technician,0,Field,No Eggs Discovered,0,91,140,0.65
59,Persian,Normal,Normal,Unnerve,1,65.0,70.0,60.0,65.0,65.0,115.0,440.0,32.0,1.0,0.5,Classy Cat Pokémon,90,20,Medium Fast,70,0,0,0,2,2,Meowth,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Limber,Technician,0,Field,No Eggs Discovered,0,103,120,0.858333
60,Psyduck,Water,Water,Swift Swim,1,50.0,52.0,48.0,65.0,50.0,55.0,320.0,19.6,0.8,0.5,Duck Pokémon,190,20,Medium Fast,70,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Damp,Cloud Nine,0,Water 1,Field,0,47,142,0.330986
61,Golduck,Water,Water,Swift Swim,1,80.0,82.0,78.0,95.0,80.0,85.0,500.0,76.6,1.7,0.5,Duck Pokémon,75,20,Medium Fast,70,0,0,0,2,2,Psyduck,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,Damp,Cloud Nine,0,Water 1,Field,0,79,115,0.686957
62,Mankey,Fighting,Fighting,Defiant,1,40.0,80.0,35.0,35.0,45.0,70.0,305.0,28.0,0.5,0.5,Pig Monkey Pokémon,190,20,Medium Fast,70,0,0,0,1,3,No Preevolution,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,Vital Spirit,Anger Point,0,Field,No Eggs Discovered,0,55,118,0.466102
63,Primeape,Fighting,Fighting,Defiant,1,65.0,105.0,60.0,60.0,70.0,95.0,455.0,32.0,1.0,0.5,Pig Monkey Pokémon,75,20,Medium Fast,70,0,0,0,2,3,Mankey,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,Vital Spirit,Anger Point,0,Field,No Eggs Discovered,0,85,108,0.787037
