First_pokemon,Second_pokemon,Winner,Name_P1,Type 1_P1,Type 2_P1,Type_P1,Abilities_P1,HiddenAbility_P1,Generation_P1,Hp_P1,Attack_P1,Defense_P1,SpecialAttack_P1,SpecialDefense_P1,Speed_P1,TotalStats_P1,Weight_P1,Height_P1,GenderProbM_P1,Category_P1,CatchRate_P1,EggCycles_P1,EggGroup_P1,LevelingRate_P1,BaseFriendship_P1,IsLegendary_P1,IsMythical_P1,IsUltraBeast_P1,HasMega_P1,EvoStage_P1,TotalEvoStages_P1,PreevoName_P1,DamageFromNormal_P1,DamageFromFighting_P1,DamageFromFlying_P1,DamageFromPoison_P1,DamageFromGround_P1,DamageFromRock_P1,DamageFromBug_P1,DamageFromGhost_P1,DamageFromSteel_P1,DamageFromFire_P1,DamageFromWater_P1,DamageFromGrass_P1,DamageFromElectric_P1,DamageFromPsychic_P1,DamageFromIce_P1,DamageFromDragon_P1,DamageFromDark_P1,DamageFromFairy_P1,Name_P2,Type 1_P2,Type 2_P2,Type_P2,Abilities_P2,HiddenAbility_P2,Generation_P2,Hp_P2,Attack_P2,Defense_P2,SpecialAttack_P2,SpecialDefense_P2,Speed_P2,TotalStats_P2,Weight_P2,Height_P2,GenderProbM_P2,Category_P2,CatchRate_P2,EggCycles_P2,EggGroup_P2,LevelingRate_P2,BaseFriendship_P2,IsLegendary_P2,IsMythical_P2,IsUltraBeast_P2,HasMega_P2,EvoStage_P2,TotalEvoStages_P2,PreevoName_P2,DamageFromNormal_P2,DamageFromFighting_P2,DamageFromFlying_P2,DamageFromPoison_P2,DamageFromGround_P2,DamageFromRock_P2,DamageFromBug_P2,DamageFromGhost_P2,DamageFromSteel_P2,DamageFromFire_P2,DamageFromWater_P2,DamageFromGrass_P2,DamageFromElectric_P2,DamageFromPsychic_P2,DamageFromIce_P2,DamageFromDragon_P2,DamageFromDark_P2,DamageFromFairy_P2
626,767,767,Tirtouga,Water,Rock,"['Water', 'Rock']","['Solid Rock', 'Sturdy']",['Swift Swim'],V,54.0,78.0,103.0,53.0,45.0,22.0,355.0,16.5,0.7,0.875,Prototurtle Pokémon,45.0,30.0,['Water 1' 'Water 3'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,Tyrunt,Rock,Dragon,"['Rock', 'Dragon']",['Strong Jaw'],['Sturdy'],VI,58.0,89.0,77.0,45.0,45.0,48.0,362.0,26.0,0.8,0.875,Royal Heir Pokémon,45.0,30.0,['Monster' 'Dragon'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.25,1.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0
181,301,301,Ledian,Bug,Flying,"['Bug', 'Flying']","['Swarm', 'Early Bird']",['Iron Fist'],II,55.0,35.0,50.0,55.0,110.0,85.0,390.0,35.6,1.4,0.5,Five Star Pokémon,90.0,15.0,['Bug'],"Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Ledyba,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,Swellow,Normal,Flying,"['Normal', 'Flying']",['Guts'],['Scrappy'],III,60.0,85.0,60.0,75.0,50.0,125.0,455.0,19.8,0.7,0.5,Swallow Pokémon,45.0,15.0,['Flying'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Taillow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
536,365,536,Fan Rotom,Electric,Flying,"['Electric', 'Flying']",['Levitate'],[],IV,50.0,65.0,107.0,105.0,107.0,86.0,520.0,0.3,0.3,-,Plasma Pokémon,45.0,20.0,['Amorphous'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,0.5,0.5,1.0,0.0,2.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,Swablu,Normal,Flying,"['Normal', 'Flying']",['Natural Cure'],['Cloud Nine'],III,45.0,40.0,60.0,40.0,75.0,50.0,310.0,1.2,0.4,0.5,Cotton Bird Pokémon,255.0,20.0,['Flying' 'Dragon'],"Erratic
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
76,441,441,Bellsprout,Grass,Poison,"['Grass', 'Poison']",['Chlorophyll'],['Gluttony'],I,50.0,75.0,35.0,70.0,30.0,40.0,300.0,4.0,0.7,0.5,Flower Pokémon,255.0,20.0,['Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Empoleon,Water,Steel,"['Water', 'Steel']",['Torrent'],['Competitive'],IV,84.0,86.0,88.0,111.0,101.0,60.0,530.0,84.5,1.7,0.875,Emperor Pokémon,45.0,20.0,['Water 1' 'Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Prinplup,0.5,2.0,0.5,0.0,2.0,0.5,0.5,1.0,0.25,1.0,0.5,1.0,2.0,0.5,0.25,0.5,1.0,0.5
3,737,737,Venusaur,Grass,Poison,"['Grass', 'Poison']",['Overgrow'],['Chlorophyll'],I,80.0,82.0,83.0,100.0,100.0,80.0,625.0,100.0,2.0,0.875,Seed Pokémon,45.0,20.0,['Monster' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,1.0,3.0,3.0,Ivysaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,Pyroar,Fire,Normal,"['Fire', 'Normal']","['Rivalry', 'Unnerve']",['Moxie'],VI,86.0,68.0,72.0,109.0,66.0,106.0,507.0,81.5,1.5,0.125,Royal Pokémon,65.0,20.0,['Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Litleo,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
435,45,435,Torterra,Grass,Ground,"['Grass', 'Ground']",['Overgrow'],['Shell Armor'],IV,95.0,109.0,105.0,75.0,85.0,56.0,525.0,310.0,2.2,0.875,Continent Pokémon,45.0,20.0,['Monster' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Grotle,1.0,1.0,2.0,1.0,0.5,0.5,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,Jigglypuff,Normal,Fairy,"['Normal', 'Fairy']","['Cute Charm', 'Competitive']",['Friend Guard'],I,115.0,45.0,20.0,45.0,25.0,20.0,270.0,5.5,0.5,0.25,Balloon Pokémon,170.0,10.0,['Fairy'],"Fast
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Igglybuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
258,779,258,Smoochum,Ice,Psychic,"['Ice', 'Psychic']","['Oblivious', 'Forewarn']",['Hydration'],II,45.0,30.0,15.0,85.0,65.0,65.0,305.0,6.0,0.4,0.0,Kiss Pokémon,45.0,25.0,-,"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,Phantump,Ghost,Grass,"['Ghost', 'Grass']","['Natural Cure', 'Frisk']",['Harvest'],VI,43.0,70.0,48.0,50.0,60.0,38.0,309.0,7.0,0.4,0.5,Stump Pokémon,120.0,20.0,['Grass' 'Amorphous'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.0,0.0,2.0,1.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,2.0,1.0
141,721,141,Gyarados,Water,Flying,"['Water', 'Flying']",['Intimidate'],['Moxie'],I,95.0,125.0,79.0,60.0,100.0,81.0,640.0,235.0,6.5,0.5,Atrocious Pokémon,45.0,5.0,['Water 2' 'Dragon'],"Slow
",70.0,0.0,0.0,0.0,1.0,2.0,2.0,Magikarp,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,Chesnaught,Grass,Fighting,"['Grass', 'Fighting']",['Overgrow'],['Bulletproof'],VI,88.0,107.0,122.0,74.0,75.0,64.0,530.0,90.0,1.6,0.875,Spiny Armor Pokémon,45.0,20.0,['Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Quilladin,1.0,1.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,2.0
606,40,606,Scolipede,Bug,Poison,"['Bug', 'Poison']","['Poison Point', 'Swarm']",['Speed Boost'],V,60.0,100.0,89.0,55.0,69.0,112.0,485.0,200.5,2.5,0.5,Megapede Pokémon,45.0,20.0,['Bug'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Whirlipede,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,Nidoking,Poison,Ground,"['Poison', 'Ground']","['Poison Point', 'Rivalry']",['Sheer Force'],I,81.0,102.0,77.0,85.0,75.0,85.0,505.0,62.0,1.4,1.0,Drill Pokémon,45.0,20.0,['Monster' 'Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Nidorino,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
579,612,612,Pidove,Normal,Flying,"['Normal', 'Flying']","['Big Pecks', 'Super Luck']",['Rivalry'],V,50.0,55.0,50.0,36.0,30.0,43.0,264.0,2.1,0.3,0.5,Tiny Pigeon Pokémon,255.0,15.0,['Flying'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Sandile,Ground,Dark,"['Ground', 'Dark']","['Intimidate', 'Moxie']",['Anger Point'],V,50.0,72.0,35.0,35.0,35.0,65.0,292.0,15.2,0.7,0.5,Desert Croc Pokémon,180.0,20.0,['Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,2.0,1.0,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.5,2.0
716,80,80,Meloetta Aria Forme,Normal,Psychic,"['Normal', 'Psychic']",['Serene Grace'],[],V,100.0,77.0,77.0,128.0,128.0,90.0,600.0,6.5,0.6,-,Melody Pokémon,3.0,120.0,-,"Slow
",100.0,0.0,1.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,Tentacruel,Water,Poison,"['Water', 'Poison']","['Clear Body', 'Liquid Ooze']",['Rain Dish'],I,80.0,70.0,65.0,80.0,120.0,100.0,515.0,55.0,1.6,0.5,Jellyfish Pokémon,60.0,20.0,['Water 3'],"Slow
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Tentacool,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5
376,37,37,Baltoy,Ground,Psychic,"['Ground', 'Psychic']",['Levitate'],[],III,40.0,40.0,55.0,40.0,70.0,55.0,300.0,21.5,0.5,-,Clay Doll Pokémon,255.0,20.0,['Mineral'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.5,2.0,1.0,2.0,1.0,Nidoqueen,Poison,Ground,"['Poison', 'Ground']","['Poison Point', 'Rivalry']",['Sheer Force'],I,90.0,92.0,87.0,75.0,85.0,76.0,505.0,60.0,1.3,0.0,Drill Pokémon,45.0,20.0,-,"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Nidorina,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
486,229,229,Bronzong,Steel,Psychic,"['Steel', 'Psychic']","['Levitate', 'Heatproof']",['Heavy Metal'],IV,67.0,89.0,116.0,79.0,116.0,33.0,500.0,187.0,1.3,-,Bronze Bell Pokémon,90.0,20.0,['Mineral'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Bronzor,0.5,1.0,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,0.5,2.0,0.5,Scizor,Bug,Steel,"['Bug', 'Steel']","['Swarm', 'Technician']",['Light Metal'],II,70.0,130.0,100.0,55.0,80.0,65.0,600.0,118.0,1.8,0.5,Pincer Pokémon,25.0,25.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,1.0,2.0,2.0,Scyther,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5
514,732,732,Magnezone,Electric,Steel,"['Electric', 'Steel']","['Magnet Pull', 'Sturdy']",['Analytic'],IV,70.0,70.0,115.0,130.0,90.0,60.0,535.0,180.0,1.2,-,Magnet Area Pokémon,30.0,20.0,['Mineral'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Magneton,0.5,2.0,0.25,0.0,4.0,0.5,0.5,1.0,0.25,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,Talonflame,Fire,Flying,"['Fire', 'Flying']",['Flame Body'],['Gale Wings'],VI,78.0,81.0,71.0,74.0,69.0,126.0,499.0,24.5,1.2,0.5,Scorching Pokémon,45.0,15.0,['Flying'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Fletchinder,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
607,295,607,Cottonee,Grass,Fairy,"['Grass', 'Fairy']","['Prankster', 'Infiltrator']",['Chlorophyll'],V,40.0,27.0,60.0,37.0,50.0,66.0,280.0,0.6,0.3,0.5,Cotton Puff Pokémon,190.0,20.0,['Grass' 'Fairy'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.0,2.0,0.0,0.5,1.0,Lombre,Water,Grass,"['Water', 'Grass']","['Swift Swim', 'Rain Dish']",['Own Tempo'],III,60.0,50.0,50.0,60.0,70.0,50.0,340.0,32.5,1.2,0.5,Jolly Pokémon,120.0,15.0,['Water 1' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Lotad,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
