ID,Name,Type 1,Type 2,Abilities,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,Category,CatchRate,EggCycles,EggGroup,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy
16,Butterfree,Bug,Flying,['Compound Eyes'],['Tinted Lens'],I,60.0,45.0,50.0,90.0,80.0,70.0,395.0,32.0,1.1,0.5,Butterfly Pokémon,45,15,['Bug'],Medium Fast,70,0,0,0,0,3,3,Metapod,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
17,Weedle,Bug,Poison,['Shield Dust'],['Run Away'],I,40.0,35.0,30.0,20.0,20.0,50.0,195.0,3.2,0.3,0.5,Hairy Bug Pokémon,255,15,['Bug'],Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
18,Kakuna,Bug,Poison,['Shed Skin'],[],I,45.0,25.0,50.0,25.0,25.0,35.0,205.0,10.0,0.6,0.5,Cocoon Pokémon,120,15,['Bug'],Medium Fast,70,0,0,0,0,2,3,Weedle,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
19,Beedrill,Bug,Poison,['Swarm'],['Sniper'],I,65.0,90.0,40.0,45.0,80.0,75.0,495.0,29.5,1.0,0.5,Poison Bee Pokémon,45,15,['Bug'],Medium Fast,70,0,0,0,1,3,3,Kakuna,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
20,Mega Beedrill,Bug,Poison,Adaptability,[],I,65.0,150.0,40.0,15.0,80.0,145.0,495.0,40.5,1.4,50.0,Poison Bee Pokémon,45,15,['Bug'],Medium Fast,70,0,0,0,1,3,3,Beedrill,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
21,Pidgey,Normal,Flying,"['Keen Eye', 'Tangled Feet']",['Big Pecks'],I,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.8,0.3,0.5,Tiny Bird Pokémon,255,15,['Flying'],Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
22,Pidgeotto,Normal,Flying,"['Keen Eye', 'Tangled Feet']",['Big Pecks'],I,63.0,60.0,55.0,50.0,50.0,71.0,349.0,30.0,1.1,0.5,Bird Pokémon,120,15,['Flying'],Medium Slow,70,0,0,0,0,2,3,Pidgey,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
23,Pidgeot,Normal,Flying,"['Keen Eye', 'Tangled Feet']",['Big Pecks'],I,83.0,80.0,75.0,70.0,70.0,101.0,579.0,39.5,1.5,0.5,Bird Pokémon,45,15,['Flying'],Medium Slow,70,0,0,0,1,3,3,Pidgeotto,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
24,Mega Pidgeot,Normal,Flying,No Guard,[],I,83.0,80.0,80.0,135.0,80.0,121.0,579.0,50.5,2.2,50.0,Bird Pokémon,45,15,['Flying'],Medium Slow,70,0,0,0,1,3,3,Pidgeot,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
25,Rattata,Normal,None,"['Run Away', 'Guts']",['Hustle'],I,30.0,56.0,35.0,25.0,35.0,72.0,253.0,3.5,0.3,0.5,Mouse Pokémon,255,15,['Field'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Raticate,Normal,None,"['Run Away', 'Guts']",['Hustle'],I,55.0,81.0,60.0,50.0,70.0,97.0,413.0,18.5,0.7,0.5,Mouse Pokémon,127,15,['Field'],Medium Fast,70,0,0,0,0,2,2,Rattata,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,Spearow,Normal,Flying,['Keen Eye'],['Sniper'],I,40.0,60.0,30.0,31.0,31.0,70.0,262.0,2.0,0.3,0.5,Tiny Bird Pokémon,255,15,['Flying'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
28,Fearow,Normal,Flying,['Keen Eye'],['Sniper'],I,65.0,90.0,65.0,61.0,61.0,100.0,442.0,38.0,1.2,0.5,Beak Pokémon,90,15,['Flying'],Medium Fast,70,0,0,0,0,2,2,Spearow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
29,Ekans,Poison,None,"['Intimidate', 'Shed Skin']",['Unnerve'],I,35.0,60.0,44.0,40.0,54.0,55.0,288.0,6.9,2.0,0.5,Snake Pokémon,255,20,['Field' 'Dragon'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
30,Arbok,Poison,None,"['Intimidate', 'Shed Skin']",['Unnerve'],I,60.0,95.0,69.0,65.0,79.0,80.0,448.0,65.0,3.5,0.5,Cobra Pokémon,90,20,['Field' 'Dragon'],Medium Fast,70,0,0,0,0,2,2,Ekans,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
31,Pikachu,Electric,None,['Static'],['Lightning Rod'],I,35.0,55.0,40.0,50.0,50.0,90.0,430.0,6.0,0.4,0.5,Mouse Pokémon,190,10,['Field' 'Fairy'],Medium Fast,70,0,0,0,0,2,3,Pichu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
32,Raichu,Electric,None,['Static'],['Lightning Rod'],I,60.0,90.0,55.0,90.0,80.0,110.0,485.0,30.0,0.8,0.5,Mouse Pokémon,75,10,['Field' 'Fairy'],Medium Fast,70,0,0,0,0,3,3,Pikachu,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
33,Sandshrew,Ground,None,['Sand Veil'],['Sand Rush'],I,50.0,75.0,85.0,20.0,30.0,40.0,300.0,12.0,0.6,0.5,Mouse Pokémon,255,20,['Field'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
34,Sandslash,Ground,None,['Sand Veil'],['Sand Rush'],I,75.0,100.0,110.0,45.0,55.0,65.0,450.0,29.5,1.0,0.5,Mouse Pokémon,90,20,['Field'],Medium Fast,70,0,0,0,0,2,2,Sandshrew,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
35,Nidoran♀,Poison,None,"['Poison Point', 'Rivalry']",['Hustle'],I,55.0,47.0,52.0,40.0,40.0,41.0,275.0,7.0,0.4,0.0,Poison Pin Pokémon,235,20,['Monster' 'Field'],Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
36,Nidorina,Poison,None,"['Poison Point', 'Rivalry']",['Hustle'],I,70.0,62.0,67.0,55.0,55.0,56.0,365.0,20.0,0.8,0.0,Poison Pin Pokémon,120,20,[],Medium Slow,70,0,0,0,0,2,3,Nidoran♀,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
37,Nidoqueen,Poison,Ground,"['Poison Point', 'Rivalry']",['Sheer Force'],I,90.0,92.0,87.0,75.0,85.0,76.0,505.0,60.0,1.3,0.0,Drill Pokémon,45,20,[],Medium Slow,70,0,0,0,0,3,3,Nidorina,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
38,Nidoran♂,Poison,None,"['Poison Point', 'Rivalry']",['Hustle'],I,46.0,57.0,40.0,40.0,40.0,50.0,273.0,9.0,0.5,1.0,Poison Pin Pokémon,235,20,['Monster' 'Field'],Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
39,Nidorino,Poison,None,"['Poison Point', 'Rivalry']",['Hustle'],I,61.0,72.0,57.0,55.0,55.0,65.0,365.0,19.5,0.9,1.0,Poison Pin Pokémon,120,20,['Monster' 'Field'],Medium Slow,70,0,0,0,0,2,3,Nidoran♂,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
40,Nidoking,Poison,Ground,"['Poison Point', 'Rivalry']",['Sheer Force'],I,81.0,102.0,77.0,85.0,75.0,85.0,505.0,62.0,1.4,1.0,Drill Pokémon,45,20,['Monster' 'Field'],Medium Slow,70,0,0,0,0,3,3,Nidorino,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
41,Clefairy,Fairy,None,"['Cute Charm', 'Magic Guard']",['Friend Guard'],I,70.0,45.0,48.0,60.0,65.0,35.0,323.0,7.5,0.6,0.25,Fairy Pokémon,150,10,['Fairy'],Fast,140,0,0,0,0,2,3,Cleffa,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
42,Clefable,Fairy,None,"['Cute Charm', 'Magic Guard']",['Unaware'],I,95.0,70.0,73.0,95.0,90.0,60.0,483.0,40.0,1.3,0.25,Fairy Pokémon,25,10,['Fairy'],Fast,140,0,0,0,0,3,3,Clefairy,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
43,Vulpix,Fire,None,['Flash Fire'],['Drought'],I,38.0,41.0,40.0,50.0,65.0,65.0,299.0,9.9,0.6,0.25,Fox Pokémon,190,20,['Field'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
44,Ninetales,Fire,None,['Flash Fire'],['Drought'],I,73.0,76.0,75.0,81.0,100.0,100.0,505.0,19.9,1.1,0.25,Fox Pokémon,75,20,['Field'],Medium Fast,70,0,0,0,0,2,2,Vulpix,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
45,Jigglypuff,Normal,Fairy,"['Cute Charm', 'Competitive']",['Friend Guard'],I,115.0,45.0,20.0,45.0,25.0,20.0,270.0,5.5,0.5,0.25,Balloon Pokémon,170,10,['Fairy'],Fast,70,0,0,0,0,2,3,Igglybuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
46,Wigglytuff,Normal,Fairy,"['Cute Charm', 'Competitive']",['Frisk'],I,140.0,70.0,45.0,85.0,50.0,45.0,435.0,12.0,1.0,0.25,Balloon Pokémon,50,10,['Fairy'],Fast,70,0,0,0,0,3,3,Jigglypuff,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
47,Zubat,Poison,Flying,['Inner Focus'],['Infiltrator'],I,40.0,45.0,35.0,30.0,40.0,55.0,245.0,7.5,0.8,0.5,Bat Pokémon,255,15,['Flying'],Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5
48,Golbat,Poison,Flying,['Inner Focus'],['Infiltrator'],I,75.0,80.0,70.0,65.0,75.0,90.0,455.0,55.0,1.6,0.5,Bat Pokémon,90,15,['Flying'],Medium Fast,70,0,0,0,0,2,3,Zubat,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5
49,Oddish,Grass,Poison,['Chlorophyll'],['Run Away'],I,45.0,50.0,55.0,75.0,65.0,30.0,320.0,5.4,0.5,0.5,Weed Pokémon,255,20,['Grass'],Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
50,Gloom,Grass,Poison,['Chlorophyll'],['Stench'],I,60.0,65.0,70.0,85.0,75.0,40.0,395.0,8.6,0.8,0.5,Weed Pokémon,120,20,['Grass'],Medium Slow,70,0,0,0,0,2,3,Oddish,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
51,Vileplume,Grass,Poison,['Chlorophyll'],['Effect Spore'],I,75.0,80.0,85.0,110.0,90.0,50.0,490.0,18.6,1.2,0.5,Flower Pokémon,45,20,['Grass'],Medium Slow,70,0,0,0,0,3,3,Gloom,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
52,Paras,Bug,Grass,"['Effect Spore', 'Dry Skin']",['Damp'],I,35.0,70.0,55.0,45.0,55.0,25.0,285.0,5.4,0.3,0.5,Mushroom Pokémon,190,20,['Bug' 'Grass'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0
53,Parasect,Bug,Grass,"['Effect Spore', 'Dry Skin']",['Damp'],I,60.0,95.0,80.0,60.0,80.0,30.0,405.0,29.5,1.0,0.5,Mushroom Pokémon,75,20,['Bug' 'Grass'],Medium Fast,70,0,0,0,0,2,2,Paras,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0
54,Venonat,Bug,Poison,"['Compound Eyes', 'Tinted Lens']",['Run Away'],I,60.0,55.0,50.0,40.0,55.0,45.0,305.0,30.0,1.0,0.5,Insect Pokémon,190,20,['Bug'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
55,Venomoth,Bug,Poison,"['Shield Dust', 'Tinted Lens']",['Wonder Skin'],I,70.0,65.0,60.0,90.0,75.0,90.0,450.0,12.5,1.5,0.5,Poison Moth Pokémon,75,20,['Bug'],Medium Fast,70,0,0,0,0,2,2,Venonat,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
56,Diglett,Ground,None,"['Sand Veil', 'Arena Trap']",['Sand Force'],I,10.0,55.0,25.0,35.0,45.0,95.0,265.0,0.8,0.2,0.5,Mole Pokémon,255,20,['Field'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
57,Dugtrio,Ground,None,"['Sand Veil', 'Arena Trap']",['Sand Force'],I,35.0,100.0,50.0,50.0,70.0,120.0,425.0,33.3,0.7,0.5,Mole Pokémon,50,20,['Field'],Medium Fast,70,0,0,0,0,2,2,Diglett,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
58,Meowth,Normal,None,"['Pickup', 'Technician']",['Unnerve'],I,40.0,45.0,35.0,40.0,40.0,90.0,290.0,4.2,0.4,0.5,Scratch Cat Pokémon,255,20,['Field'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,Persian,Normal,None,"['Limber', 'Technician']",['Unnerve'],I,65.0,70.0,60.0,65.0,65.0,115.0,440.0,32.0,1.0,0.5,Classy Cat Pokémon,90,20,['Field'],Medium Fast,70,0,0,0,0,2,2,Meowth,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Psyduck,Water,None,"['Damp', 'Cloud Nine']",['Swift Swim'],I,50.0,52.0,48.0,65.0,50.0,55.0,320.0,19.6,0.8,0.5,Duck Pokémon,190,20,['Water 1' 'Field'],Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
61,Golduck,Water,None,"['Damp', 'Cloud Nine']",['Swift Swim'],I,80.0,82.0,78.0,95.0,80.0,85.0,500.0,76.6,1.7,0.5,Duck Pokémon,75,20,['Water 1' 'Field'],Medium Fast,70,0,0,0,0,2,2,Psyduck,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
62,Mankey,Fighting,None,"['Vital Spirit', 'Anger Point']",['Defiant'],I,40.0,80.0,35.0,35.0,45.0,70.0,305.0,28.0,0.5,0.5,Pig Monkey Pokémon,190,20,['Field'],Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
63,Primeape,Fighting,None,"['Vital Spirit', 'Anger Point']",['Defiant'],I,65.0,105.0,60.0,60.0,70.0,95.0,455.0,32.0,1.0,0.5,Pig Monkey Pokémon,75,20,['Field'],Medium Fast,70,0,0,0,0,2,3,Mankey,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
64,Growlithe,Fire,None,"['Intimidate', 'Flash Fire']",['Justified'],I,55.0,70.0,45.0,70.0,50.0,60.0,350.0,19.0,0.7,0.75,Puppy Pokémon,190,20,['Field'],Slow,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
65,Arcanine,Fire,None,"['Intimidate', 'Flash Fire']",['Justified'],I,90.0,110.0,80.0,100.0,80.0,95.0,555.0,155.0,1.9,0.75,Legendary Pokémon,75,20,['Field'],Slow,70,0,0,0,0,2,2,Growlithe,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
66,Poliwag,Water,None,"['Water Absorb', 'Damp']",['Swift Swim'],I,40.0,50.0,40.0,40.0,40.0,90.0,300.0,12.4,0.6,0.5,Tadpole Pokémon,255,20,['Water 1'],Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
67,Poliwhirl,Water,None,"['Water Absorb', 'Damp']",['Swift Swim'],I,65.0,65.0,65.0,50.0,50.0,90.0,385.0,20.0,1.0,0.5,Tadpole Pokémon,120,20,['Water 1'],Medium Slow,70,0,0,0,0,2,3,Poliwag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
